Perturbation,electra-base-de-squad2,bert-multi-english-german-squad2,xlm-roberta-base-squad2,gelectra-base-germanquad
NONE,71.06,68.03,66.31,72.17
ICC,12.41,5.7,9.06,5.43
ICQ,70.95,6.26,38.89,16.29
TLC,28.31,26.11,26.03,29.25
TLQ,71.06,63.68,63.21,68.14
TUC,13.76,6.38,10.73,6.94
TUQ,70.95,7.08,47.37,21.07
TTC,53.77,44.38,46.85,49.42
TTQ,71.06,63.36,63.54,68.71
IPC,71.27,68.16,66.21,72.3
IPQ,67.82,65.66,63.47,69.86
DPC,69.25,66.99,63.03,71.77
DPQ,70.58,68.21,63.95,71.17
DCVC,70.99,67.92,66.01,72.32
DCVQ,67.63,64.99,62.37,69.49
DCRC,70.2,67.09,65.34,71.31
DCRQ,66.08,65.48,63.23,68.78
ICVC,70.89,68.06,66,71.9
ICVQ,67.93,65.25,62.74,69.44
ICRC,70.1,67.4,65.05,72.25
ICRQ,65.97,65.74,62.16,68.91
RepeatCVC,70.97,67.77,65.7,72.47
RepeatCVQ,66.1,65.88,63.55,69.59
RepeatCRC,69.81,67.02,65.44,70.97
RepeatCRQ,66.45,66.06,62.71,69.87
ReplaceCVC,71.15,67.9,65.78,71.73
ReplaceCVQ,67.41,65.52,63.09,69.39
ReplaceCRC,69.89,67.54,65.26,72.05
ReplaceCRQ,66.8,65.28,62.21,68.84
SCVC,70.96,67.58,65.9,72.2
SCVQ,68.09,65.05,63.39,69.81
SCRC,70.21,67.09,65.53,71.23
SCRQ,65.81,64.91,62.8,68.62
RUC,61.24,60.28,58.67,63.87
RUQ,68.95,65.83,63.93,70.73
typo_C,29.67,31.45,31.13,33.94
typo_Q,45.16,48.55,47.61,50.58
